,date,open,high,low,close,volume,amount,outstanding_share,turnover
277,2021-02-26,4.41,4.48,4.33,4.35,32793783.0,205133831.0,2381485290.0,0.013770306765153272
278,2021-03-01,4.38,4.52,4.35,4.52,35951956.0,228200517.0,2381485290.0,0.015096442607042095
279,2021-03-02,4.51,4.53,4.43,4.46,29025433.0,184730093.0,2381485290.0,0.012187953930213023
280,2021-03-03,4.45,4.5,4.42,4.5,26440631.0,168506084.0,2381485290.0,0.011102580020555156
281,2021-03-04,4.47,4.5,4.38,4.39,31473425.0,198548103.0,2381485290.0,0.01321588049783839
282,2021-03-05,4.4,4.6,4.4,4.47,46730863.0,300282254.0,2381485290.0,0.01962257050094985
283,2021-03-08,4.47,4.57,4.45,4.51,46247530.0,297543242.0,2381485290.0,0.01941961606657667
284,2021-03-09,4.53,4.56,4.33,4.38,44861000.0,283967972.0,2381485290.0,0.018837403778378996
285,2021-03-10,4.42,4.43,4.17,4.19,40354040.0,245076448.0,2381485290.0,0.016944904161049847
286,2021-03-11,4.21,4.28,4.15,4.27,24447981.0,147653487.0,2381485290.0,0.01026585429801248
287,2021-03-12,4.27,4.27,4.15,4.17,26929424.0,160738978.0,2381485290.0,0.011307827141775039
288,2021-03-15,4.16,4.24,4.15,4.22,24113876.0,144167819.0,2381485290.0,0.010125561598576995
289,2021-03-16,4.21,4.26,4.19,4.23,17525955.0,105861658.0,2381485290.0,0.00735925393853682
290,2021-03-17,4.22,4.24,4.17,4.2,16501096.0,98765319.0,2381485290.0,0.006928909479008372
291,2021-03-18,4.2,4.2,4.1,4.12,27051807.0,159622059.0,2381485290.0,0.011359216499716444
292,2021-03-19,4.1,4.15,4.07,4.1,15059407.0,88118378.0,2381485290.0,0.0063235355948807895
293,2021-03-22,4.09,4.17,4.09,4.15,16369147.0,96514041.0,2381485290.0,0.006873503300119061
294,2021-03-23,4.17,4.19,4.12,4.19,21068117.0,124956935.0,2381485290.0,0.008846629071557272
295,2021-03-24,4.59,4.69,4.49,4.52,134003190.0,872267875.0,2381485290.0,0.056268745628069786
296,2021-03-25,4.46,4.61,4.46,4.52,68266934.0,440788275.0,2381485290.0,0.02866569627226209
297,2021-03-26,4.5,4.7,4.5,4.68,87419427.0,578849853.0,2381485290.0,0.03670794330205584
298,2021-03-29,4.64,4.68,4.56,4.57,58741298.0,385091823.0,2381485290.0,0.024665824410781894
299,2021-03-30,4.57,4.59,4.51,4.55,33790934.0,219071536.0,2381485290.0,0.014189016468793725
300,2021-03-31,4.55,4.57,4.48,4.5,25465010.0,163968837.0,2381485290.0,0.010692910893436592
301,2021-04-01,4.55,4.57,4.49,4.52,27679576.0,178492469.0,2381485290.0,0.011622820479399224
302,2021-04-02,4.52,4.6,4.48,4.51,38276903.0,248191302.0,2381485290.0,0.016072701838943545
303,2021-04-06,4.51,4.59,4.48,4.52,28337032.0,183228501.0,2381485290.0,0.011898890208975424
304,2021-04-07,4.51,4.53,4.43,4.46,31830527.0,203041805.0,2381485290.0,0.01336582977592106
305,2021-04-08,4.46,4.5,4.41,4.41,28078188.0,177745588.0,2381485290.0,0.01179020005620106
306,2021-04-09,4.4,4.46,4.38,4.41,28041790.0,176575988.0,2381485290.0,0.011774916317035072
307,2021-04-12,4.45,4.51,4.39,4.45,44338514.0,280940760.0,2381485290.0,0.018618008763766077
308,2021-04-13,4.42,4.43,4.24,4.27,42276205.0,259596980.0,2381485290.0,0.01775203280806324
309,2021-04-14,4.29,4.48,4.26,4.43,46291206.0,289752775.0,2381485290.0,0.01943795588172623
310,2021-04-15,4.38,4.4,4.31,4.33,28841455.0,178748581.0,2381485290.0,0.012110700461223508
311,2021-04-16,4.33,4.55,4.31,4.53,54838870.0,350067665.0,2381485290.0,0.02302717141704453
312,2021-04-19,4.5,4.66,4.5,4.64,56786951.0,371354806.0,2381485290.0,0.02384518234836546
313,2021-04-20,4.64,4.71,4.59,4.61,52950373.0,350929185.0,2381485290.0,0.022234180165773772
314,2021-04-21,4.58,4.62,4.52,4.55,28129703.0,182796975.0,2381485290.0,0.011811831514609104
315,2021-04-22,4.57,4.57,4.51,4.52,24267480.0,157048571.0,2381485290.0,0.01019006084224018
316,2021-04-23,4.52,4.53,4.36,4.38,43243736.0,271846296.0,2381485290.0,0.018158304895513337
317,2021-04-26,4.31,4.38,4.26,4.27,38975651.0,239669068.0,2381485290.0,0.01636611032772745
318,2021-04-27,4.27,4.29,4.2,4.26,30970745.0,186881917.0,2381485290.0,0.013004802141775984
319,2021-04-28,4.3,4.34,4.25,4.32,28814949.0,176558761.0,2381485290.0,0.012099570432366601
320,2021-04-29,4.28,4.41,4.27,4.36,29260373.0,182098414.0,2381485290.0,0.012286606649583798
321,2021-04-30,4.38,4.4,4.29,4.33,21380195.0,132161368.0,2381485290.0,0.008977672501180976
322,2021-05-06,4.33,4.36,4.26,4.26,24233594.0,148299649.0,2381485290.0,0.010175831906986081
323,2021-05-07,4.31,4.43,4.29,4.33,37151839.0,231409229.0,2381485290.0,0.015600280697093872
324,2021-05-10,4.42,4.5,4.37,4.45,49062776.0,310603450.0,2381485290.0,0.020601754798157918
325,2021-05-11,4.49,4.49,4.36,4.45,33972409.0,213628099.0,2381485290.0,0.014265218913025493
326,2021-05-12,4.42,4.48,4.4,4.47,24723093.0,156352597.0,2381485290.0,0.010381375481853175
327,2021-05-13,4.41,4.54,4.41,4.49,38318896.0,245396462.0,2381485290.0,0.01609033495226838
328,2021-05-14,4.49,4.53,4.47,4.52,33933488.0,217550941.0,2381485290.0,0.01424887575098144
329,2021-05-17,4.45,4.5,4.38,4.43,41400441.0,261362567.0,2381485290.0,0.017384294235972375
330,2021-05-18,4.43,4.58,4.41,4.52,42207949.0,271800525.0,2381485290.0,0.017723371703043354
331,2021-05-19,4.52,4.55,4.42,4.45,28910484.0,183724670.0,2381485290.0,0.012139686153593668
332,2021-05-20,4.45,4.45,4.32,4.36,28312674.0,176097535.0,2381485290.0,0.011888662138240627
